City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,yellowknife,62.456,-114.3525,15.31,58,75,3.09,CA,1684979826
1,vanino,49.0869,140.2543,25.66,33,89,1.11,RU,1684979826
2,gadzhiyevo,69.2551,33.3362,10.97,69,100,8.17,RU,1684979826
3,tofol,5.3248,163.0078,28.41,73,28,4.81,FM,1684979832
4,port-aux-francais,-49.35,70.2167,5.84,99,100,8.21,TF,1684979832
5,bethel,41.3712,-73.414,14.19,84,100,3.09,US,1684979832
6,afaahiti,-17.75,-149.2833,27.93,77,46,3.09,PF,1684979832
7,georgetown,5.4112,100.3354,30.96,74,20,2.06,MY,1684979641
8,grytviken,-54.2811,-36.5092,1.14,57,75,1.13,GS,1684979832
9,tinghir,31.5157,-5.5343,18.51,33,23,2.77,MA,1684979832
10,college,64.8569,-147.8028,20.97,33,100,4.12,US,1684979833
11,hermanus,-34.4187,19.2345,13.78,87,97,8.9,ZA,1684979833
12,isafjordur,66.0755,-23.124,3.62,72,76,14.08,IS,1684979833
13,zapadnaya dvina,56.259,32.0745,10.92,96,41,0.64,RU,1684979833
14,waitangi,-43.9535,-176.5597,12.12,74,44,1.79,NZ,1684979833
15,guangyuan,32.442,105.823,17.5,90,100,2.14,CN,1684979833
16,ribeira grande,38.5167,-28.7,17.1,78,23,4.47,PT,1684979833
17,imbituba,-28.24,-48.6703,18.59,94,14,4.81,BR,1684979834
18,kenai,60.5544,-151.2583,14.05,47,100,6.69,US,1684979834
19,mayna,54.1135,47.6231,15.12,59,27,3.35,RU,1684979834
20,capanema,-1.1958,-47.1808,23.11,98,100,1.41,BR,1684979834
21,necochea,-38.5473,-58.7368,15.48,92,100,2.13,AR,1684979834
22,guaimaro,21.05,-77.35,24.17,85,15,0.94,CU,1684979834
23,santana,-0.0583,-51.1817,27.1,100,20,1.54,BR,1684979834
24,adamstown,-25.066,-130.1015,23.66,71,37,2.95,PN,1684979835
25,atafu village,-8.5421,-172.5159,27.89,71,93,0.96,TK,1684979835
26,lorengau,-2.0226,147.2712,25.98,89,100,5.0,PG,1684979835
27,ushuaia,-54.8,-68.3,3.81,70,40,5.14,AR,1684979835
28,castillos,-34.1667,-53.8333,20.92,79,100,2.47,UY,1684979835
29,saudarkrokur,65.7461,-19.6394,3.18,72,37,9.17,IS,1684979835
30,mar del plata,-38.0023,-57.5575,16.16,99,100,0.0,AR,1684979545
